Year;Month;Day;Incident code;Location start;Location end;Type of incident;Number of terrorists in attack force;Number of nationalities;First nationality of terrorists;Second nationality of terrorists;Third nationality of terrorists;Number of victims;Number of nationalities of victims;First victim's nationality;Second victim's nationality;Third victim's nationality;Number of US victims;Type of US victims;Type of immediate victims;Total individuals wounded;Terrorists wounded;Total number of individuals killed;Terrorists killed;Type of Weapon used;Terrorist logistical success;Number of Hostages;Escaped Hostages;Target of Demands 1;Target of Demands 2;Target of Demands 3;Number of Entities;Demands on Host Nation;Media Announcement;Political Change;Ransom demanded;Release Prisoners;Safe haven destination;Terrorist Negotiation Behavior;Sequential Release of Hostages;Passed Deadlines;Threats Carried Out;Terrorist Negotiation Success;Target Negotiator;Amount of Ransom Paid;Number of Prisoners Released;First hostage's fate;Second hostage's fate;Duration in Hours;Duration in Days;
1978;1;19;4;999;999;9;99;1;850;998;998;999;99;999;999;999;999;9;9;0;0;0;0;9;1;9999;0;620;998;998;1;2;0;2;9998;998;9;9;9;9;9;9;9;0;0;99;98;99;999;
1978;2;3;1;92;92;2;24;1;92;999;999;999;1;996;999;999;0;8;2;0;0;0;0;9;6;9999;0;92;996;998;2;1;0;1;0;120;2;9;1;9;9;9;9;0;999;2;98;99;999;
1978;2;17;2;100;100;1;99;9;999;999;999;1;1;325;999;999;0;8;5;0;0;0;0;9;6;1;0;8;998;998;1;2;0;1;140;0;2;2;0;0;0;3;5;0;0;14;98;96;5;
1978;2;21;1;92;92;1;2;9;92;999;999;1;1;145;999;999;0;8;2;2;1;0;0;9;4;1;1;996;998;998;0;1;0;1;0;0;1;8;9;9;9;8;8;0;0;10;98;1;0;
1978;3;8;1;211;211;1;99;9;999;999;999;1;1;305;999;999;0;8;5;0;0;1;0;9;6;1;0;305;998;998;0;2;0;2;0;0;2;8;0;9;9;8;8;0;0;98;98;99;999;
1978;3;13;1;210;210;2;3;1;850;999;999;71;1;210;999;999;0;8;7;12;0;2;0;4;5;71;0;210;998;998;1;1;0;2;1300;21;1;2;9;0;1;3;6;0;0;14;11;28;1;
1978;3;16;1;325;325;1;12;1;325;998;998;6;1;325;998;998;0;8;1;0;0;6;0;4;6;1;0;325;998;998;1;1;0;2;0;998;2;2;0;9;9;3;1;9999;0;3;98;97;38;
1978;5;8;1;522;530;1;99;1;522;999;999;1;1;220;999;999;0;8;7;0;0;0;0;9;6;1;0;522;998;998;9;1;9;1;0;998;2;8;1;9;9;9;9;0;0;1;98;96;8;
1978;5;10;1;100;100;1;6;1;100;999;999;1;1;93;999;999;0;8;2;0;0;0;0;4;6;1;0;93;998;998;8;2;0;2;0;0;2;8;1;9;9;8;8;0;0;1;98;2;0;
1978;5;17;1;92;92;1;7;1;92;999;999;2;2;740;92;999;0;8;5;1;0;1;0;9;6;1;0;92;8;7;2;1;1;1;9998;38;2;4;0;0;0;1;1;0;0;3;98;99;0;
